local_law_id,name,address,type_of_law_enforcement
1012842,MCCOOK POLICE DEPARTMENT,526 WEST B STREET,LOCAL POLICE DEPARTMENT
1010833,KIMBERLING CITY POLICE DEPARTMENT,34 KIMBERLING BOULEVARD,LOCAL POLICE DEPARTMENT
1012771,GOSPER COUNTY SHERIFFS OFFICE,"507 SMITH AVENUE, GOSPER COUNTY COURTHOUSE",SHERIFF'S OFFICE
1012829,LINCOLN POLICE DEPARTMENT,575 SOUTH 10TH STREET,LOCAL POLICE DEPARTMENT
1012715,HAMILTON COUNTY SHERIFFS OFFICE / HAMILTON COUNTY JAIL,715 12TH STREET,SHERIFF'S OFFICE
1016652,PORTER POLICE DEPARTMENT,617 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016481,GRANDFIELD POLICE DEPARTMENT,223 MAIN STREET,LOCAL POLICE DEPARTMENT
1016636,OWASSO POLICE DEPARTMENT,111 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016589,MOUNDS POLICE DEPARTMENT,1317 COMMERCIAL AVENUE,LOCAL POLICE DEPARTMENT
1016727,TECUMSEH POLICE DEPARTMENT,109 WEST WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1016394,ROGERS COUNTY SHERIFFS OFFICE / ROGERS COUNTY JAIL,201 SOUTH CHEROKEE AVENUE,SHERIFF'S OFFICE
1016689,SENTINEL POLICE DEPARTMENT,316 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1016321,ANTLERS POLICE DEPARTMENT,103 SOUTHEAST 2ND STREET,LOCAL POLICE DEPARTMENT
1016371,CALUMET POLICE DEPARTMENT,118 WEST SECOND STREET,LOCAL POLICE DEPARTMENT
1016760,VERDEN POLICE DEPARTMENT,101 MORRIS AVENUE,LOCAL POLICE DEPARTMENT
1016469,GAGE POLICE DEPARTMENT,513 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016459,MAJOR COUNTY SHERIFFS OFFICE / MAJOR COUNTY JAIL,"500 EAST BROADWAY, SUITE 4",SHERIFF'S OFFICE
1016503,KIOWA COUNTY SHERIFFS DEPARTMENT / KIOWA COUNTY JAIL,301 SOUTH JEFFERSON STREET,SHERIFF'S OFFICE
1016674,RUSH SPRINGS POLICE DEPARTMENT,102 EAST BLAKELEY AVENUE,LOCAL POLICE DEPARTMENT
1016400,CLINTON POLICE DEPARTMENT,401 GARY BOULEVARD,LOCAL POLICE DEPARTMENT
1016634,OLUSTEE POLICE DEPARTMENT,104 WEST 4TH STREET,LOCAL POLICE DEPARTMENT
1016768,WAKITA POLICE DEPARTMENT,114 WEST MAIN,LOCAL POLICE DEPARTMENT
1016640,OSAGE COUNTY SHERIFFS OFFICE / OSAGE COUNTY JAIL,900 SOUTH SAINT PAUL AVENUE,SHERIFF'S OFFICE
1016325,CUSTER COUNTY SHERIFFS OFFICE / CUSTER COUNTY JAIL,300 NORTH 7TH AVENUE,SHERIFF'S OFFICE
1016402,COAL COUNTY SHERIFFS DEPARTMENT / COAL COUNTY JAIL,"4 NORTH MAIN STREET, SUITE 8",SHERIFF'S OFFICE
1016384,CHELSEA POLICE DEPARTMENT,508 VINE STREET,LOCAL POLICE DEPARTMENT
1016614,OKFUSKEE COUNTY SHERIFF DEPARTMENT / OKFUSKEE COUNTY JAIL,209 NORTH 3RD STREET,SHERIFF'S OFFICE
1016647,PERRY POLICE DEPARTMENT,312 NORTH 8TH STREET,LOCAL POLICE DEPARTMENT
1016649,POCOLA POLICE DEPARTMENT,204 SOUTH POCOLA BOULEVARD,LOCAL POLICE DEPARTMENT
1016420,DAVENPORT POLICE DEPARTMENT,214 BROADWAY,LOCAL POLICE DEPARTMENT
1016699,SOUTH COFFEYVILLE POLICE DEPARTMENT,419 WILLOW STREET,LOCAL POLICE DEPARTMENT
1016497,HEAVENER POLICE DEPARTMENT,105 EAST AVENUE C,LOCAL POLICE DEPARTMENT
1016735,TONKAWA POLICE DEPARTMENT,110 EAST NOC DRIVE,LOCAL POLICE DEPARTMENT
1016784,WELLSTON POLICE DEPARTMENT,211 CEDAR AVENUE,LOCAL POLICE DEPARTMENT
1016720,CHEROKEE COUNTY SHERIFFS OFFICE,213 WEST DELAWARE STREET,SHERIFF'S OFFICE
1016542,LAVERNE POLICE DEPARTMENT,7TH STREET AND OAKLAHOMA AVENUE,LOCAL POLICE DEPARTMENT
1016796,WRIGHT CITY POLICE DEPARTMENT,207 WEST 10TH STREET,LOCAL POLICE DEPARTMENT
1016723,TAHLEQUAH POLICE DEPARTMENT,100 PHOENIX AVENUE,LOCAL POLICE DEPARTMENT
1016352,BLANCHARD POLICE DEPARTMENT,117 WEST BROADWAY,LOCAL POLICE DEPARTMENT
1016762,VICI POLICE DEPARTMENT,106 WEST BROADWAY STREET,LOCAL POLICE DEPARTMENT
1016609,OILTON POLICE DEPARTMENT,110 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1016513,HULBERT POLICE DEPARTMENT,111 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1016374,CANTON POLICE DEPARTMENT,112 NORTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1016763,CRAIG COUNTY SHERIFFS OFFICE / CRAIG COUNTY JAIL,210 WEST DELAWARE AVENUE,SHERIFF'S OFFICE
1023177,WEST MILWAUKEE POLICE DEPARTMENT,4755 WEST BELOIT ROAD,LOCAL POLICE DEPARTMENT
1022985,OAK CREEK POLICE DEPARTMENT,301 WEST RYAN ROAD,LOCAL POLICE DEPARTMENT
1022791,GREEN BAY POLICE DEPARTMENT,307 SOUTH ADAMS STREET,LOCAL POLICE DEPARTMENT
1016765,VINITA POLICE DEPARTMENT,104 EAST ILLINOIS AVENUE,LOCAL POLICE DEPARTMENT
1023131,TREMPEALEAU POLICE DEPARTMENT,"24455 3RD STREET, VILLAGE OF TREMPEALEAU COMMUNITY CENTER",LOCAL POLICE DEPARTMENT
1019020,KIMBALL POLICE DEPARTMENT,140 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1012062,FOUR OAKS POLICE DEPARTMENT,304 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1015250,ATHENS COUNTY SHERIFFS OFFICE,13 WEST WASHINGTON STREET,SHERIFF'S OFFICE
1012002,CITY OF DENTON POLICE DEPARTMENT,101 WEST NEWSOM AVENUE,LOCAL POLICE DEPARTMENT
1010142,FAIRMONT POLICE DEPARTMENT,"201 LAKE AVENUE, SUITE 199",LOCAL POLICE DEPARTMENT
1010143,MARTIN COUNTY SHERIFFS DEPARTMENT / MARTIN COUNTY JAIL,"201 LAKE AVENUE, SUITE 198",SHERIFF'S OFFICE
1010062,HOUSTON COUNTY SHERIFFS OFFICE / HOUSTON COUNTY JAIL,304 SOUTH MARSHALL STREET,SHERIFF'S OFFICE
1013034,FRANKLIN POLICE DEPARTMENT,5 HANCOCK TERRACE,LOCAL POLICE DEPARTMENT
1023035,CRAWFORD COUNTY SHERIFF DEPARTMENT / CRAWFORD COUNTY JAIL,224 NORTH BEAUMONT ROAD,SHERIFF'S OFFICE
1022414,OKANOGAN COUNTY SHERIFFS OFFICE,"123 5TH AVENUE NORTH, 200",SHERIFF'S OFFICE
1010868,JACKSON COUNTY SHERIFFS DEPARTMENT,3310 NORTHEAST RENNAU DRIVE,SHERIFF'S OFFICE
1010326,RENVILLE COUNTY SHERIFFS DEPARTMENT / RENVILLE COUNTY JAIL,410 EAST DEPUE AVENUE,SHERIFF'S OFFICE
1021548,KANAB CITY POLICE DEPARTMENT,140 EAST 100 SOUTH,LOCAL POLICE DEPARTMENT
1010295,MORA POLICE DEPARTMENT,16 N. LAKES ST.,LOCAL POLICE DEPARTMENT
1010740,GREENFIELD POLICE DEPARTMENT,115 N MAIN STREET,LOCAL POLICE DEPARTMENT
1016128,STRATTON POLICE DEPARTMENT,136 THIRD AVENUE,LOCAL POLICE DEPARTMENT
1016091,SHREVE POLICE DEPARTMENT,150 W. MCCONKEY ST.,LOCAL POLICE DEPARTMENT
1019059,SOUTH DAKOTA DIVISION OF CRIMINAL INVESTIGATION,1302 E HIGHWAY 14,SPECIAL JURISDICTION
1022087,PATRICK COUNTY SHERIFF'S OFFICE,742 COMMERCE STREET,SHERIFF'S OFFICE
1010292,MOORHEAD POLICE DEPARTMENT,915 9TH AVE. N,LOCAL POLICE DEPARTMENT
1014082,INCLINE VILLAGE CONSTABLE,865 TAHOE BLVD.,LOCAL POLICE DEPARTMENT
1021938,MARTINSVILLE (CITY) SHERIFF'S OFFICE,13 MOSS ST,SHERIFF'S OFFICE
1022332,GIG HARBOR POLICE DEPARTMENT,3510 GRANDVIEW STREET,LOCAL POLICE DEPARTMENT
1022825,JANESVILLE POLICE DEPARTMENT,100 NORTH JACKSON STREET,LOCAL POLICE DEPARTMENT
1011308,MISSISSIPPI BUREAU OF NARCOTICS,6090 INTERSTATE 55 SOUTH FRONTAGE RD,SPECIAL JURISDICTION
1011359,EDWARDS POLICE DEPARTMENT,100 UTICA STREET,LOCAL POLICE DEPARTMENT
1018763,LANDER UNIVERSITY POLICE,320 STANLEY AVENUE,SPECIAL JURISDICTION
1018063,PENNSYLVANIA STATE UNIVERSITY - BERKS POLICE,1801 BROADCASTING ROAD,SPECIAL JURISDICTION
1011320,COAHOMA COMMUNITY COLLEGE POLICE,"3240 FRIAR POINT ROAD, STUDENT SERVICES COMPLEX",SPECIAL JURISDICTION
1011293,NORTHEAST COMMUNITY COLLEGE CAMPUS POLICE DEPARTMENT,"103 CUNNINGHAM BOULEVARD, ROOM 145",SPECIAL JURISDICTION
1017512,DAUPHIN COUNTY CRIMINAL INVESTIGATION DIVISION,2 SOUTH 2ND STREET,SPECIAL JURISDICTION
1017541,BLAIR COUNTY DISTRICT ATTORNEYS,"423 ALLEGHENY ST, SUITE 421",SPECIAL JURISDICTION
1017564,INDIANA COUNTY DETECTIVE BUREAU,825 PHILADELPHIA ST,SPECIAL JURISDICTION
1016807,OREGON STATE POLICE - ARLINGTON,STATE HIGHWAY 19 AND COLUMBIA STREET,PRIMARY STATE AGENCY
1016980,PORT OF PORTLAND POLICE,7000 NORTHEAST AIRPORT WAY,SPECIAL JURISDICTION
1020176,SOCORRO INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1300 JOE BATTLE BOULEVARD,SPECIAL JURISDICTION
1020630,LAREDO INTERNATIONAL AIRPORT POLICE DEPARTMENT,5210 BOB BULLOCK LOOP,SPECIAL JURISDICTION
1020628,LAREDO COMMUNITY COLLEGE POLICE DEPARTMENT,WEST END WASHINGTON STREET,SPECIAL JURISDICTION
1020071,DALLAS INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1402 SEEGAR STREET,SPECIAL JURISDICTION
1020298,TEXAS A AND M UNIVERSITY AT GALVESTON POLICE DEPARTMENT - MITCHELL CAMPUS,"200 SEAWOLF PARKWAY, BUILDING 3025 SUITE 121",SPECIAL JURISDICTION
1018353,JACKSON TOWNSHIP POLICE DEPARTMENT,140 MAGILL ROAD,LOCAL POLICE DEPARTMENT
1017935,PHILADELPHIA HOUSING AUTHORITY POLICE DEPT,3111 SOUTH 23RD STREET,SPECIAL JURISDICTION
1020807,MEXIA INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1120 NORTH ROSS AVENUE,SPECIAL JURISDICTION
1020723,TEXAS TECH POLICE DEPARTMENT,2901 4TH STREET,SPECIAL JURISDICTION
1021307,TAHOKA INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1925 AVENUE P,SPECIAL JURISDICTION
1020419,MEDINA COUNTY SHERIFFS OFFICE / MEDINA COUNTY JAIL,801 AVENUE Y,SHERIFF'S OFFICE
1019635,ALEDO INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1000 BAILEY RANCH ROAD,SPECIAL JURISDICTION
1020078,PARKLAND POLICE DEPARTMENT,5201 HARRY HINES BOULEVARD,SPECIAL JURISDICTION
1020426,ALIEF INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,12135 1/2 HIGH STAR DRIVE,SPECIAL JURISDICTION
1021246,WESTERN TEXAS COLLEGE CAMPUS POLICE,6200 COLLEGE AVENUE,SPECIAL JURISDICTION
1020435,HOUSTON INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,3500 TAMPA STREET,SPECIAL JURISDICTION
1014154,ALBANY COUNTY SHERIFFS OFFICE,16 EAGLE STREET,SHERIFF'S OFFICE
1018704,SOUTH CAROLINA HOUSE OF REPRESENTATIVES SERGEANT-AT-ARMS OFFICE,"1100 GERVAIS ST, PO BOX 11867",SPECIAL JURISDICTION
1017534,PENNSYLVANIA STATE UNIVERSITY UNIVERSITY POLICE - HAZLETON,"17 UNIVERSITY DRIVE, WEST HALL",SPECIAL JURISDICTION
1017614,ARMSTRONG COUNTY SHERIFF OFFICE,500 EAST MARKET STREET,SHERIFF'S OFFICE
1017167,HEMLOCK TOWNSHIP POLICE DEPARTMENT,26 FIREHALL RD,LOCAL POLICE DEPARTMENT
1016848,COQUILLE TRIBAL POLICE DEPARTMENT,2602 MEXEYE LOOP,LOCAL POLICE DEPARTMENT
1014017,TAOS COUNTY SHERIFF'S OFFICE,105 ALBRIGHT ST,SHERIFF'S OFFICE
1013908,HAGERMAN DEPARTMENT OF PUBLIC SAFETY,P.O. BOX 247,LOCAL POLICE DEPARTMENT
1021011,PRAIRIE VIEW A&M UNIVERSITY POLICE DEPT.,100 UNIVERSITY DR,SPECIAL JURISDICTION
1021482,WOODVILLE I.S.D. POLICE DEPT.,505 N. CHARLTON ST.,SPECIAL JURISDICTION
1011446,MISSISSIPPI DEPARTMENT OF AGRICULTURE & COMMERCE,"1900 EAST WOODROW WILSON AVENUE, PO BOX 1609",SPECIAL JURISDICTION
1021126,ALAMO COMMUNITY COLLEGE DISTRICT POLICE DEPARTMENT - HEADQUARTERS,201 WEST SHERIDAN STREET,SPECIAL JURISDICTION
1015123,TROY HOUSING AUTHORITY DEPT OF PUBLIC SAFETY,1776 SIXTH AVENUE,SPECIAL JURISDICTION
1019945,GREENBELT MUNICIPAL AND INDUSTRIAL WATER AUTHORITY,4610 STATE HIGHWAY 70,SPECIAL JURISDICTION
1015133,NEW YORK CITY DEPARTMENT OF ENVIRONMENTAL PROTECTION POLICE,2 WALKER RD,SPECIAL JURISDICTION
1016864,ELGIN POLICE DEPARTMENT,180 NORTH 8TH AVENUE,LOCAL POLICE DEPARTMENT
1021148,SAN ANTONIO INTERNATIONAL AIRPORT POLICE DEPARTMENT,9700 AIRPORT BOULEVARD,SPECIAL JURISDICTION
1021371,UNIVERSITY OF TEXAS - TYLER POLICE,11937 US HWY 271,SPECIAL JURISDICTION
1011675,COPIAH-LINCOLN COMMUNITY COLLEGE POLICE DEPT,"P.O. BOX 649, POST OFFICE BOX 649",SPECIAL JURISDICTION
1011568,NESHOBA COUNTY SHERIFF'S OFFICE,401 E BEACON ST,SHERIFF'S OFFICE
1019095,UNIVERSITY OF SOUTH DAKOTA POLICE DEPARTMENT,414 EAST CLARK STREET,SPECIAL JURISDICTION
1012324,UNIVERSITY OF NORTH CAROLINA AT PEMBROKE POLICE AND PUBLIC SAFETY DEPARTMENT,"1 UNIVERSITY DRIVE, D.F. LOWRY BUILDING",SPECIAL JURISDICTION
1013688,SEA BRIGHT POLICE DEPARTMENT,1099 OCEAN AVENUE,LOCAL POLICE DEPARTMENT
1019158,CAMDEN POLICE DEPARTMENT,119 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1019192,CLEVELAND POLICE DEPARTMENT,100 CHURCH STREET NORTHEAST,LOCAL POLICE DEPARTMENT
1019177,CHATTANOOGA METRO AIRPORT POLICE DEPARTMENT,"1001 AIRPORT ROAD, SUITE 14",SPECIAL JURISDICTION
1011143,GREENE COUNTY JUSTICE CENTER,1000 NORTH BOONVILLE AVENUE,SHERIFF'S OFFICE
1023306,GLASGOW POLICE DEPARTMENT,50 3RD STREET,LOCAL POLICE DEPARTMENT
1012288,TOWN OF MURPHY POLICE DEPARTMENT,93 PEACHTREE STREET,LOCAL POLICE DEPARTMENT
1010294,KANABEC COUNTY SHERIFF / KANABEC COUNTY JAIL,18 NORTH VINE STREET,SHERIFF'S OFFICE
1021840,FREDERICKSBURG POLICE DEPARTMENT,2200 COWAN BOULEVARD,LOCAL POLICE DEPARTMENT
1016208,WAPAKONETA POLICE DEPARTMENT,701 PARLETTE COURT,LOCAL POLICE DEPARTMENT
1015252,OHIO UNIVERSITY POLICE DEPARTMENT,"88 UNIVERSITY TERRACE, 135 SCOTT QUADRANGLE",SPECIAL JURISDICTION
1010100,CRYSTAL POLICE DEPARTMENT,4141 DOUGLAS DRIVE NORTH,LOCAL POLICE DEPARTMENT
1010900,SALINE COUNTY SHERIFFS DEPARTMENT,1915 WEST ARROW STREET,SHERIFF'S OFFICE
1023308,GILMER COUNTY SHERIFFS OFFICE,10 HOWARD STREET,SHERIFF'S OFFICE
1014099,NEVADA GAMING CONTROL BOARD LAW ENFORCEMENT,"555 EAST WASHINGTON AVENUE, SUITE 2600",SPECIAL JURISDICTION
1015714,HARDIN COUNTY SHERIFFS OFFICE,1025 SOUTH MAIN STREET,SHERIFF'S OFFICE
1019529,RIPLEY POLICE DEPARTMENT,110 SOUTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1011027,WASHINGTON COUNTY SHERIFFS DEPARTMENT / WASHINGTON COUNTY JAIL,116 WEST HIGH STREET,SHERIFF'S OFFICE
1012361,NORTH CAROLINA STATE UNIVERSITY POLICE DEPARTMENT,"2610 WOLF VILLAGE WAY, PUBLIC SAFETY BUILDING",SPECIAL JURISDICTION
1012834,UNIVERSITY OF NEBRASKA - LINCOLN POLICE DEPARTMENT,300 NORTH 17TH STREET,SPECIAL JURISDICTION
1019351,UNIVERSITY OF TENNESSEE POLICE DEPARTMENT - KNOXVILLE,1101 CUMBERLAND AVENUE,SPECIAL JURISDICTION
1012416,SELMA POLICE DEPARTMENT,1200 SOUTH POLLOCK STREET,LOCAL POLICE DEPARTMENT
1011802,RONAN CITY POLICE DEPARTMENT,109 2ND AVENUE SOUTHWEST,LOCAL POLICE DEPARTMENT
1011757,WHEATLAND COUNTY SHERIFFS OFFICE / WHEATLAND COUNTY JAIL,203 A AVENUE NORTHWEST,SHERIFF'S OFFICE
1016107,SOUTH RUSSELL POLICE DEPARTMENT,5205 CHILLICOTHE ROAD,LOCAL POLICE DEPARTMENT
1018964,SOUTH DAKOTA STATE UNIVERSITY POLICE DEPARTMENT,926 HARVEY DUNN STREET,SPECIAL JURISDICTION
1016316,NORTHWESTERN OKLAHOMA STATE UNIVERSITY POLICE DEPARTMENT,709 OKLAHOMA BOULEVARD,SPECIAL JURISDICTION
1016722,NORTHEASTERN OKLAHOMA STATE UNIVERSITY POLICE,830 NORTH GRAND AVENUE,SPECIAL JURISDICTION
1010217,KEEWATIN POLICE DEPARTMENT,127 3RD AVENUE WEST,LOCAL POLICE DEPARTMENT
1015216,BATH TOWNSHIP POLICE DEPARTMENT,3864 WEST BATH ROAD,LOCAL POLICE DEPARTMENT
1023317,GRANTSVILLE POLICE DEPARTMENT,100 COURT STREET,LOCAL POLICE DEPARTMENT
1021499,BRIAN HEAD POLICE DEPARTMENT,56 NORTH STATE HIGHWAY 143,LOCAL POLICE DEPARTMENT
1013572,NEW JERSEY INSTITUTE OF TECHNOLOGY DEPARTMENT OF PUBLIC SAFETY,"154 SUMMIT STREET, PARKING GARAGE",SPECIAL JURISDICTION
1011775,LEWISTOWN POLICE DEPARTMENT,"305 WEST WATSON STREET, SUITE 2",LOCAL POLICE DEPARTMENT
1012478,TOPSAIL BEACH POLICE DEPARTMENT,812 SOUTH ANDERSON BOULEVARD,LOCAL POLICE DEPARTMENT
1023562,LARAMIE COUNTY SHERIFFS DEPARTMENT / LARAMIE COUNTY JAIL,1910 PIONEER AVENUE,SHERIFF'S OFFICE
1019140,SULLIVAN COUNTY SHERIFFS DEPARTMENT / SULLIVAN COUNTY JAIL,140 BLOUNTVILLE BYPASS,SHERIFF'S OFFICE
1023435,PHILIPPI POLICE DEPARTMENT,115 CHURCH STREET,LOCAL POLICE DEPARTMENT
1012460,STOVALL CITY POLICE DEPARTMENT,107 MAIN STREET,LOCAL POLICE DEPARTMENT
1010492,CITY OF ADVANCE POLICE DEPARTMENT,308 WEST GABRIEL STREET,LOCAL POLICE DEPARTMENT
1010986,OTTERVILLE POLICE DEPARTMENT,204 NORTH CHERRY STREET,LOCAL POLICE DEPARTMENT
1012264,UNION COUNTY SHERIFFS OFFICE / UNION COUNTY JAIL,3344 PRESSON ROAD,SHERIFF'S OFFICE
1010957,NEW MADRID POLICE DEPARTMENT,"537 MOTT STREET, SUITE A",LOCAL POLICE DEPARTMENT
1011782,MANHATTAN POLICE DEPARTMENT,120 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1010752,WRIGHT COUNTY SHERIFFS OFFICE / WRIGHT COUNTY JAIL,125 COURT SQUARE,SHERIFF'S OFFICE
1022617,BARRON POLICE DEPARTMENT,1456 EAST LA SALLE AVENUE,LOCAL POLICE DEPARTMENT
1023022,PLAINFIELD POLICE DEPARTMENT,114 WEST CLARK STREET,LOCAL POLICE DEPARTMENT
1012307,CITY OF NEWTON GROVE POLICE DEPARTMENT,304 WEST WEEKSDALE STREET,LOCAL POLICE DEPARTMENT
1022762,FOND DU LAC POLICE DEPARTMENT,126 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1022920,MEQUON POLICE DEPARTMENT,11300 NORTH BUNTROCK AVENUE,LOCAL POLICE DEPARTMENT
1022668,CAMPBELLSPORT POLICE DEPARTMENT,177 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1010964,NORBORNE POLICE DEPARTMENT,109 EAST SECOND STREET,LOCAL POLICE DEPARTMENT
1012527,WILLIAMSTON POLICE DEPARTMENT,106 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1012546,BERTIE COUNTY SHERIFFS OFFICE,104 DUNDEE STREET,SHERIFF'S OFFICE
1012049,CITY OF FAIRMONT POLICE DEPARTMENT,"421 SOUTH MAIN STREET, PUBLIC SAFETY BUILDING",LOCAL POLICE DEPARTMENT
1022846,LA CROSSE COUNTY SHERIFFS DEPARTMENT / LA CROSSE COUNTY JAIL,"333 VINE STREET, ROOM 1500",SHERIFF'S OFFICE
1012372,RICH SQUARE POLICE DEPARTMENT - HEADQUARTERS,112 EAST JACKSON STREET,LOCAL POLICE DEPARTMENT
1013764,VINELAND POLICE DEPARTMENT,111 NORTH 6TH STREET,LOCAL POLICE DEPARTMENT
1015647,GROVE CITY POLICE DEPARTMENT,3360 PARK STREET,LOCAL POLICE DEPARTMENT
1010461,WASECA COUNTY SHERIFFS OFFICE / WASECA COUNTY JAIL,122 3RD AVENUE NORTHWEST,SHERIFF'S OFFICE
1016288,YELLOW SPRINGS POLICE DEPARTMENT,100 DAYTON STREET,LOCAL POLICE DEPARTMENT
1010414,SCOTT COUNTY SHERIFFS DEPARTMENT / SCOTT COUNTY JAIL,"301 FULLER STREET, SCOTT COUNTY LAW ENFORCEMENT CENTER",SHERIFF'S OFFICE
1013351,ENGLEWOOD CLIFFS POLICE DEPARTMENT,10 KAHN TERRACE,LOCAL POLICE DEPARTMENT
1012580,BISMARCK POLICE DEPARTMENT,700 SOUTH 9TH STREET,LOCAL POLICE DEPARTMENT
1012254,MICRO POLICE DEPARTMENT,101 UNITED STATES HIGHWAY 301 NORTH,LOCAL POLICE DEPARTMENT
1021504,CEDAR CITY POLICE DEPARTMENT,10 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1023312,GRAFTON POLICE DEPARTMENT,1 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1013389,GLASSBORO POLICE DEPARTMENT,1 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1012167,KENANSVILLE POLICE DEPARTMENT,149 ROUTLEDGE STREET,LOCAL POLICE DEPARTMENT
1023231,BETHANY POLICE DEPARTMENT,CHURCH STREET,LOCAL POLICE DEPARTMENT
1016095,SILVERTON POLICE DEPARTMENT,6860 PLAINFIELD ROAD,LOCAL POLICE DEPARTMENT
1015878,NAPOLEON CITY POLICE DEPARTMENT,310 GLENWOOD AVENUE,LOCAL POLICE DEPARTMENT
1012508,WAYNESVILLE POLICE DEPARTMENT,9 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1011959,CITY OF CHERRYVILLE POLICE DEPARTMENT,704 EAST CHURCH STREET,LOCAL POLICE DEPARTMENT
1016285,CITY OF XENIA POLICE DIVISION,101 NORTH DETROIT STREET,LOCAL POLICE DEPARTMENT
1011773,LAUREL CITY POLICE DEPARTMENT,215 WEST 1ST STREET,LOCAL POLICE DEPARTMENT
1016351,BLAIR POLICE DEPARTMENT,122 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1012699,WILLISTON POLICE DEPARTMENT,205 EAST BROADWAY,LOCAL POLICE DEPARTMENT
1013601,OAKLAND POLICE DEPARTMENT,295 RAMAPO VALLEY ROAD,LOCAL POLICE DEPARTMENT
1015388,ARLINGTON HEIGHTS POLICE DEPARTMENT,601 ELLIOTT AVENUE,LOCAL POLICE DEPARTMENT
1013470,LAVALLETTE POLICE DEPARTMENT,1300 GRAND CENTRAL AVENUE,LOCAL POLICE DEPARTMENT
1013509,EVESHAM TOWNSHIP POLICE DEPARTMENT,984 TUCKERTON ROAD,LOCAL POLICE DEPARTMENT
1015887,NEW CONCORD POLICE DEPARTMENT,2 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1015835,MIAMISBURG POLICE DEPARTMENT,10 NORTH 1ST STREET,LOCAL POLICE DEPARTMENT
1010340,PAYNESVILLE POLICE DEPARTMENT,221 WASHBURNE AVENUE,LOCAL POLICE DEPARTMENT
1010139,EVELETH POLICE DEPARTMENT,415 PIERCE STREET,LOCAL POLICE DEPARTMENT
1010222,LAKE CITY POLICE DEPARTMENT,209 SOUTH HIGH STREET,LOCAL POLICE DEPARTMENT
1010412,SAVAGE POLICE DEPARTMENT,6000 MCCOLL DRIVE,LOCAL POLICE DEPARTMENT
1010366,RENVILLE POLICE DEPARTMENT,107 DUPONT AVENUE NORTHEAST,LOCAL POLICE DEPARTMENT
1019045,CAMPBELL COUNTY SHERIFFS OFFICE,111 2ND STREET NORTHEAST,SHERIFF'S OFFICE
1010304,MOUNDS VIEW POLICE DEPARTMENT,2401 COUNTY ROAD 10,LOCAL POLICE DEPARTMENT
1010377,ROSEVILLE POLICE DEPARTMENT,2660 CIVIC CENTER DRIVE,LOCAL POLICE DEPARTMENT
1010474,WHEATON POLICE DEPARTMENT,"203 7TH STREET NORTH, TRAVERSE COUNTY LAW ENFORCEMENT CENTER",LOCAL POLICE DEPARTMENT
1019004,HYDE COUNTY SHERIFFS OFFICE,412 COMMERCIAL AVENUE SOUTHEAST,SHERIFF'S OFFICE
1018954,BERESFORD POLICE DEPARTMENT,310 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1022947,GREEN COUNTY SHERIFFS DEPARTMENT / GREEN COUNTY JAIL,2827 6TH STREET,SHERIFF'S OFFICE
1010005,ATWATER POLICE DEPARTMENT,123 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1010418,SILVER BAY POLICE DEPARTMENT,"7 DAVIS DRIVE, CITY HALL",LOCAL POLICE DEPARTMENT
1022616,BARRON COUNTY SHERIFFS DEPARTMENT / BARRON COUNTY JAIL,1420 STATE HIGHWAY 25 NORTH,SHERIFF'S OFFICE
1010463,WATERVILLE POLICE DEPARTMENT,114 HOOSAC STREET,LOCAL POLICE DEPARTMENT
1010265,MEDINA POLICE DEPARTMENT,2052 COUNTY ROAD 24,LOCAL POLICE DEPARTMENT
